Index Raw," Behavior Regulation"," Emotion Regulation"," Cognitive Regulation"
96,"[null, null]","[null, null]","[82,>99]"
95,"[null, null]","[null, null]","[82,>99]"
94,"[null, null]","[null, null]","[81,>99]"
93,"[null, null]","[null, null]","[80,>99]"
92,"[null, null]","[null, null]","[80,99]"
91,"[null, null]","[null, null]","[79,99]"
90,"[null, null]","[null, null]","[78,99]"
89,"[null, null]","[null, null]","[77,99]"
88,"[null, null]","[null, null]","[77,99]"
87,"[null, null]","[null, null]","[76,99]"
86,"[null, null]","[null, null]","[75,99]"
85,"[null, null]","[null, null]","[75,99]"
84,"[null, null]","[null, null]","[74,99]"
83,"[null, null]","[null, null]","[73,99]"
82,"[null, null]","[null, null]","[72,98]"
81,"[null, null]","[null, null]","[72,98]"
80,"[null, null]","[null, null]","[71,97]"
79,"[null, null]","[null, null]","[70,97]"
78,"[null, null]","[null, null]","[70,97]"
77,"[null, null]","[null, null]","[69,95]"
76,"[null, null]","[null, null]","[68,95]"
75,"[null, null]","[null, null]","[67,95]"
74,"[null, null]","[null, null]","[67,95]"
73,"[null, null]","[null, null]","[66,93]"
72,"[null, null]","[null, null]","[65,92]"
71,"[null, null]","[null, null]","[65,92]"
70,"[null, null]","[null, null]","[64,91]"
69,"[null, null]","[null, null]","[63,91]"
68,"[null, null]","[null, null]","[62,89]"
67,"[null, null]","[null, null]","[62,89]"
66,"[null, null]","[null, null]","[61,89]"
65,"[null, null]","[null, null]","[60,87]"
64,"[null, null]","[null, null]","[60,87]"
63,"[null, null]","[null, null]","[59,83]"
62,"[null, null]","[null, null]","[58,81]"
61,"[null, null]","[null, null]","[58,81]"
60,"[null, null]","[null, null]","[57,76]"
59,"[null, null]","[null, null]","[56,74]"
58,"[null, null]","[null, null]","[55,72]"
57,"[null, null]","[null, null]","[54,70]"
56,"[null, null]","[null, null]","[53,66]"
55,"[null, null]","[null, null]","[53,66]"
54,"[null, null]","[null, null]","[52,62]"
53,"[null, null]","[null, null]","[52,62]"
52,"[null, null]","[null, null]","[51,62]"
51,"[null, null]","[null, null]","[50,57]"
50,"[null, null]","[null, null]","[50,57]"
49,"[null, null]","[null, null]","[49,53]"
48,"[null, null]","[90,>99]","[48,50]"
47,"[null, null]","[89,>99]","[48,50]"
46,"[null, null]","[87,>99]","[47,46]"
45,"[null, null]","[86,>99]","[46,44]"
44,"[null, null]","[84,99]","[45,40]"
43,"[null, null]","[82,99]","[45,40]"
42,"[null, null]","[81,99]","[44,34]"
41,"[null, null]","[79,99]","[43,31]"
40,"[null, null]","[78,97]","[43,31]"
39,"[null, null]","[76,97]","[42,28]"
38,"[null, null]","[75,97]","[41,27]"
37,"[null, null]","[73,97]","[41,27]"
36,"[86,>99]","[72,95]","[40,22]"
35,"[84,>99]","[70,95]","[39,20]"
34,"[82,>99]","[69,95]","[38,18]"
33,"[80,99]","[67,95]","[38,18]"
32,"[78,99]","[65,93]","[37,6]"
31,"[76,99]","[64,90]","[null, null]"
30,"[74,98]","[62,88]","[null, null]"
29,"[72,97]","[61,86]","[null, null]"
28,"[70,96]","[59,85]","[null, null]"
27,"[68,95]","[58,81]","[null, null]"
26,"[66,95]","[56,78]","[null, null]"
25,"[64,92]","[55,74]","[null, null]"
24,"[62,89]","[53,71]","[null, null]"
23,"[60,86]","[52,70]","[null, null]"
22,"[58,82]","[50,66]","[null, null]"
21,"[56,74]","[48,60]","[null, null]"
20,"[54,70]","[47,54]","[null, null]"
19,"[52,66]","[45,50]","[null, null]"
18,"[50,61]","[44,38]","[null, null]"
17,"[48,54]","[42,31]","[null, null]"
16,"[46,49]","[41,19]","[null, null]"
15,"[44,44]","[null, null]","[null, null]"
14,"[42,32]","[null, null]","[null, null]"
13,"[40,20]","[null, null]","[null, null]"
12,"[38,8]","[null, null]","[null, null]"